Target,Model,F1_Class_0,F1_Class_1,Precision,Accuracy,Recall,AUC_ROC
Type_of_Venom_Allergy_ATCD_Venom,RandomForest,0.8847829131652661,0.06666666666666667,0.7538139329805996,0.7972222222222223,0.05,0.6383928571428572
Type_of_Venom_Allergy_ATCD_Venom,XGBoost,0.8673319327731093,0.2,0.7800044091710758,0.7749999999999999,0.25,0.7232142857142857
Type_of_Venom_Allergy_ATCD_Venom,LogisticRegression,0.818659771600948,0.26666666666666666,0.7884898589065256,0.7180555555555556,0.35,0.6125
Type_of_Venom_Allergy_ATCD_Venom,SVM,0.7622710622710624,0.19,0.7529365079365079,0.6388888888888888,0.3,0.5357142857142858
